commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,cwes
352d860b9107adbcde0f1fe5d0fce8e9090a51e4,2025-01-23T12:43:04-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
f133285a9a7f3647fd55abc2e57b8a9a2c11ac94,2025-01-23T11:28:04-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
2c47207b3c8412d16e61e388f176b47b41b40794,2025-01-23T11:36:43+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
29ba75e6e57414f0e6f9528d08a520b8b931fb28,2025-01-23T10:38:15+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
23c960a98e0d054d51dadda7049a54a083ef1155,2025-01-23T09:33:13+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
9a1f18635ff034b039c24ed5121cced028fc27d0,2025-01-22T18:22:50-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
e262d5355d82901f81fba6c7015643c2b87125bf,2025-01-22T14:56:44+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
1b6ec1f944844f868cfac82f7d6f38d57c898900,2025-01-22T08:43:18-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
64b1ac7292c72d3551b2ad70b2a78c8fe4af3249,2025-01-22T10:56:30+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
322785b08cf21f2b7a627caf459e73e6170dd602,2025-01-22T10:56:30+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
00c690efbc0b10f67924687f24a7b30397bf47d9,2025-01-22T08:56:18+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
a76035e925ff4e6d8676c65cb135c74b993b1039,2025-01-22T08:56:18+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
136a1e89278070fd100f27d9519529be8a8a8c10,2025-01-21T19:34:23-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
862b7f98a02b7973848db578ff6d24ec8500fdb4,2025-01-21T14:15:27-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
